ID	Source	Source_Reference_ID	Entrez_Gene_ID	Symbol
ILMN_1232404	RefSeq	NM_146090.2	225791	Zadh2
ILMN_2992058	RefSeq	NM_146833.1	258830	Olfr103
ILMN_1244967	RefSeq	NM_146833.1	258830	Olfr103
ILMN_2741935	RefSeq	NM_010381.2	14968	H2-Ea
ILMN_2943738	RefSeq	NM_178674.3	213311	Fbxl21
ILMN_1246170	RefSeq	NM_146847.1	258844	Olfr1090
ILMN_2600004	MEEBO	scl0002053.1_260	NA	Plk4
ILMN_1224859	MEEBO	scl29044.3_57	NA	Ian6
ILMN_2703618	MEEBO	scl49342.9.1_4	NA	Dvl3
ILMN_1214937	MEEBO	scl014548.2_14	NA	Mrps33
ILMN_2594066	MEEBO	scl29348.1.5_41	NA	2210417D09Rik
ILMN_3138028	RefSeq	NM_001040112.1	69710	Centd2
ILMN_2682548	RefSeq	NM_146607.1	258600	Olfr270
ILMN_2711312	MEEBO	scl18995.12_704	NA	1110051M20Rik
ILMN_1229529	MEEBO	scl15964.10_1	NA	Hsd17b7
ILMN_3162174	RefSeq	NM_029673.2	76614	Immt
ILMN_2971177	RefSeq	NM_177649.3	227712	BC034076
ILMN_1251233	RefSeq	NM_025331.2	66066	Gng11
ILMN_2644630	RefSeq	NM_019814.2	56295	Hig1
ILMN_2854943	RefSeq	NM_181444.3	232431	Gprc5a
ILMN_2483748	RefSeq	NM_020570.2	57434	Xrcc2
ILMN_2895630	RefSeq	NM_020570.2	57434	Xrcc2
ILMN_2727768	MEEBO	scl0320256.5_3	NA	D630005C06Rik
ILMN_2738031	MEEBO	scl15748.11.135_10	NA	AA408296
ILMN_2612564	MEEBO	scl15748.11.135_10	NA	AA408296
ILMN_3162887	RefSeq	NM_001013817.2	434484	LOC434484
ILMN_1255360	RefSeq	NM_146921.1	258923	Olfr1
ILMN_1250881	RefSeq	NM_029199.1	75185	4930542N07Rik
ILMN_1215854	RefSeq	NM_013592.2	17183	Matn4
ILMN_2729289	RefSeq	NM_013592.2	17183	Matn4
ILMN_2913500	RefSeq	NM_013592.2	17183	Matn4
ILMN_2878742	RefSeq	NM_001033438.1	380882	Gm906
ILMN_1251660	RefSeq	NM_145700.1	252837	Ccrl1
ILMN_2983624	RefSeq	NM_145700.1	252837	Ccrl1
ILMN_2637408	RefSeq	NM_145700.1	252837	Ccrl1
ILMN_2654554	RefSeq	NM_008013.2	14190	Fgl2
ILMN_2705166	MEEBO	scl49300.12_501	NA	St6gal1
ILMN_2636183	RefSeq	NM_020052.1	56788	Scube2
ILMN_1258399	RefSeq	NM_020052.1	56788	Scube2
ILMN_1228338	MEEBO	scl25131.24_224	NA	Eps15
ILMN_2978502	RefSeq	NM_021365.1	27083	Xlr4b
ILMN_1244776	MEEBO	scl067332.3_15	NA	Snrpd3
ILMN_2735905	RefSeq	NM_176844.3	110835	Chrna5
ILMN_2654385	MEEBO	scl016336.1_104	NA	Insl3
ILMN_3065652	RefSeq	NM_001081067.1	117586	A1bg
ILMN_2746521	RefSeq	NM_008319.1	15898	Icam5
ILMN_1256388	RefSeq	NM_008639.1	17773	Mtnr1a
ILMN_2656489	MEEBO	scl073542.3_35	NA	1700091F14Rik
ILMN_1225764	MEEBO	scl23864.14.1_204	NA	1700018O18Rik
ILMN_2630730	MEEBO	scl41891.15_195	NA	Sf3a1
ILMN_3104328	RefSeq	NM_001003920.2	381979	Brsk1
ILMN_3003008	RefSeq	NM_008872.1	18791	Plat
ILMN_3052373	RefSeq	NM_001012450.1	140577	Ankrd6
ILMN_2672509	MEEBO	scl17648.8_20	NA	4832406C22
ILMN_2983948	RefSeq	NM_029720.1	76737	Creld2
ILMN_2757368	RefSeq	NM_029720.1	76737	Creld2
ILMN_2694539	MEEBO	scl32591.1_99	NA	Magel2
ILMN_1231765	MEEBO	scl35214.3.1_115	NA	Cmya1
ILMN_2947234	RefSeq	NM_144811.3	52609	Cbx7
ILMN_1216337	MEEBO	scl47124.10_349	NA	Sla
ILMN_2485920	MEEBO	scl137.7.1_16	NA	Cacna1a
ILMN_2997695	RefSeq	NM_177711.2	238663	4932411G14Rik
ILMN_2709700	MEEBO	scl0229007.6_266	NA	BC021513
ILMN_2646906	MEEBO	scl0330490.3_95	NA	Nalp9c
ILMN_2736242	MEEBO	scl33308.26.1_5	NA	Cntnap4
ILMN_2981536	RefSeq	NM_001033419.2	330483	Ceacam16
ILMN_3155228	RefSeq	NM_001081160.1	74762	Mdga1
ILMN_2734646	RefSeq	NM_009287.2	20866	Stim1
ILMN_1257918	MEEBO	scl26766.5.1_148	NA	9630008K15Rik
ILMN_2712756	RefSeq	NM_008836.2	18690	Phxr5
ILMN_2669458	RefSeq	NM_008836.2	18690	Phxr5
ILMN_2728916	RefSeq	NM_008836.2	18690	Phxr5
ILMN_2702078	RefSeq	NM_207562.1	404324	Olfr1051
ILMN_2509376	MEEBO	scl31676.7_0	NA	Tomm40
ILMN_2602921	MEEBO	scl000516.1_135	NA	Cntf
ILMN_1230991	MEEBO	scl011951.2_99	NA	Atp5g1
ILMN_2834808	RefSeq	NM_021290.1	22226	Ucn
ILMN_2731102	MEEBO	scl0011979.2_278	NA	Atp7b
ILMN_2670738	MEEBO	scl0011979.2_278	NA	Atp7b
ILMN_2638192	MEEBO	scl0011979.2_278	NA	Atp7b
ILMN_2752104	MEEBO	scl0011979.2_278	NA	Atp7b
ILMN_2715629	RefSeq	NM_026126.2	67391	Fundc2
ILMN_2603439	RefSeq	NM_026126.2	67391	Fundc2
ILMN_2903440	RefSeq	NM_016690.2	50926	Hnrpdl
