gene_id,gene_name,logFC,logCPM,PValue,FDR
ENSDARG00000054290,acin1a,-0.8090419765125515,8.934983773499406,2.0777926721674376e-6,7.114088490713203e-5
ENSDARG00000016809,prkacab,0.5752190539808572,5.481347830670606,2.204762234198254e-6,7.471943702048665e-5
ENSDARG00000023330,anp32b,-0.8851910767366118,6.015605647511864,2.296619724909389e-6,7.65846737925696e-5
ENSDARG00000026185,yju2,-0.72209466500887,4.3901520412410795,3.2073395880170184e-6,9.883357545296885e-5
ENSDARG00000098702,zgc:165603,-1.2307315057133719,4.010363937917746,3.2684555029893072e-6,9.979284324723317e-5
ENSDARG00000034503,per2,0.524498794858171,7.4476922305815725,3.3606739316373405e-6,1.0204674128183457e-4
ENSDARG00000014969,ankhb,0.6228627356993492,5.598258114637401,3.4344046586655767e-6,1.03529879565571e-4
ENSDARG00000006225,ddx39aa,0.7588826428415406,4.129691990592915,3.865057417449224e-6,1.1224180702679772e-4
ENSDARG00000027740,adcyap1b,0.8083801418616129,7.72198597918082,4.076304677353353e-6,1.173524391542557e-4
ENSDARG00000038713,tep1,-0.8153352684322293,3.107446207055058,4.485126338229129e-6,1.2692602426553183e-4
ENSDARG00000004633,epn3b,-0.8483992554446176,3.32340104711317,4.941231084185579e-6,1.374951258208161e-4
ENSDARG00000017772,mdh1aa,0.7965103415576464,7.152134944894045,5.276346264674476e-6,1.4536159245725707e-4
ENSDARG00000052712,suclg1,0.6769249729683596,5.105442128284373,5.297282093366765e-6,1.4569714716301316e-4
ENSDARG00000007387,irf2a,-0.6447756995873274,3.876397176426087,5.78655076402153e-6,1.558061564940425e-4
ENSDARG00000027497,mast1a,-0.4633500790728213,6.253086279934233,5.863749135937726e-6,1.568694302604562e-4
ENSDARG00000105295,LO017784.1,-0.5817715296017973,3.990124694982161,6.52624152928466e-6,1.7097113917387583e-4
ENSDARG00000015482,zgc:113518,-0.9043796530528343,3.210588349524789,6.534714213616888e-6,1.7097113917387583e-4
ENSDARG00000031426,csrnp1a,1.2897660701719984,2.263406647467016,6.8695627973990905e-6,1.775421211766532e-4
ENSDARG00000025855,camk2n1a,-0.5455768820891844,8.584391237560242,6.871221516692588e-6,1.775421211766532e-4
ENSDARG00000037647,rnf175,0.5366942561214099,4.296251090101764,6.9504989062418675e-6,1.7858968694921135e-4
ENSDARG00000097892,BX470264.1,-1.0069786630671653,2.8951011190775118,7.745103024092226e-6,1.9256505350031072e-4
ENSDARG00000100181,lamp1a,-1.1219566735654765,3.583949370200978,7.748068390656098e-6,1.9256505350031072e-4
ENSDARG00000086104,slco5a1a,-0.570357882986109,7.495063459543284,8.378944242190519e-6,2.0533966449197384e-4
ENSDARG00000037746,actb1,0.6932619633981797,8.219512063721293,1.070596728537488e-5,2.48116010624844e-4
ENSDARG00000053995,gpank1,-0.7867762305138098,2.319505421053608,1.1479028701258079e-5,2.602330212383303e-4
ENSDARG00000097617,si:ch211-178n15.1,-0.7625430131993852,3.319143140336556,1.2120256037189543e-5,2.7071283283064965e-4
ENSDARG00000074275,limch1a,-0.6639638457064069,5.864472037245904,1.2786005402142864e-5,2.8180017204193015e-4
ENSDARG00000036645,rcbtb1,0.6247059677013048,3.0608786118369435,1.4048875988493967e-5,3.028151508400772e-4
ENSDARG00000096003,atp5md,1.10784829677516,3.8315287526856263,1.4186658869842605e-5,3.0467231275537154e-4
ENSDARG00000062991,abi1b,-0.45419964295486726,5.367899411848301,1.4232557947080998e-5,3.0467231275537154e-4
ENSDARG00000016788,zeb1a,-0.4499743282091012,6.202991129607767,1.6766203210140015e-5,3.453859362307055e-4
ENSDARG00000093157,si:ch73-236c18.8,-0.5332199889082965,4.0971843004001745,1.7798815613529776e-5,3.5899671734440663e-4
ENSDARG00000003382,cwc25,-0.6153639357754278,4.852500258436007,1.8945783755577954e-5,3.762174285335993e-4
ENSDARG00000027590,sept2,0.5082927917475188,4.940757725617629,1.920709224036871e-5,3.7912931776955554e-4
ENSDARG00000099104,rpl24,0.6619746283363217,6.728687368466797,1.9855631434633976e-5,3.8688256097460115e-4
ENSDARG00000030289,jag1a,0.7720918691703906,4.433414512124596,2.2040945221117582e-5,4.201160692776593e-4
ENSDARG00000035692,rps3a,0.751625666628659,6.6258446183608735,2.24219878529932e-5,4.2559963390825393e-4
ENSDARG00000034105,mtus1b,-0.626729889328282,5.642188761864171,2.316552014931628e-5,4.3556413026511065e-4
ENSDARG00000089243,r3hcc1l,-0.5927790921979276,4.633158703237794,2.327462534970376e-5,4.3712163184996683e-4
ENSDARG00000038114,xpa,-1.2305509427345662,1.3432552305389156,2.3430410488255052e-5,4.3938922975796e-4
ENSDARG00000089853,si:dkey-22n8.3,-2.070673751603764,1.5763543567509855,2.4224560889787666e-5,4.51902122428326e-4
ENSDARG00000104077,fcer1gl,1.0508280271480113,2.2857747199244995,2.48464288742858e-5,4.6153603691162867e-4
ENSDARG00000014313,atp5pf,0.7557863192472591,5.606932003748078,2.5055351450889844e-5,4.632456090475633e-4
ENSDARG00000019951,sec62,-0.6681747055047856,6.2353453292889265,2.5384168161282855e-5,4.682844325983888e-4
ENSDARG00000074846,si:dkeyp-68b7.12,-1.1990190236201785,3.1450999265946007,2.569817850330146e-5,4.7302841846784985e-4
ENSDARG00000018460,mbnl2,-0.6451330375824,7.492723705807123,2.793252522163993e-5,5.074205455110135e-4
ENSDARG00000026871,uchl1,0.5570799611913428,6.057332029031506,2.9107527733876128e-5,5.256744128429394e-4
ENSDARG00000110206,CABZ01085887.1,-1.5546161797607008,2.0176676736786114,3.123078592456394e-5,5.522638446171562e-4
ENSDARG00000076066,march6,0.6228377544101157,5.825284635381818,3.204462258158833e-5,5.648543641500315e-4
ENSDARG00000101766,ptmab,-0.5111002444351948,8.821095237930367,3.518902735799915e-5,6.055278337508852e-4
ENSDARG00000019924,cmpk,0.561078093338292,5.096635137960282,3.7024167455670766e-5,6.280144204509293e-4
ENSDARG00000079124,MTERF4,-1.1471356124372987,2.33571405728646,3.802385650317709e-5,6.430050530618564e-4
ENSDARG00000038754,plk3,0.442486162335075,5.621129508709254,4.585356160150332e-5,7.454053953735711e-4
ENSDARG00000012574,slkb,-0.529821428880442,4.951843507224194,4.91313360935359e-5,7.861013774965744e-4
ENSDARG00000102887,abhd4,0.6228808083333153,3.5824598693532153,4.9560393663367495e-5,7.914442903631814e-4
ENSDARG00000014731,cacybp,-0.8893831013184227,5.0000374073997,5.157639907372652e-5,8.135636509909968e-4
ENSDARG00000015707,dvl3a,0.49691539018744224,3.98868980518086,5.15811088819412e-5,8.135636509909968e-4
ENSDARG00000081126,CR788281.1,1.5292844562687862,6.730185855876721,5.1718649563238445e-5,8.141895257637538e-4
ENSDARG00000055022,pds5a,-0.5102122124807935,5.306569243011681,5.223134078863566e-5,8.207077532794121e-4
ENSDARG00000091678,ints12,-0.5191012019654041,3.5810304891371367,5.9711205800897027e-5,9.049129913724285e-4
ENSDARG00000019778,rps6,0.6502958055700625,6.695448318850197,6.277606392446908e-5,9.417602326215657e-4
ENSDARG00000104076,rnf126,-0.676921647724561,4.457821217627395,6.580726479264413e-5,9.750960695900252e-4
ENSDARG00000054799,rfc1,-0.47549676608406816,4.439601457623369,7.267511574886739e-5,0.001038929489743259
ENSDARG00000059835,zfyve27,0.8290655936098336,3.3650300610184773,7.297594943110018e-5,0.001042334591015886
ENSDARG00000058237,ssbp3a,-0.6363133816451177,3.2580802892538907,7.887969410539697e-5,0.001112337381282886
ENSDARG00000013741,lancl1,0.5073561196372485,6.079718542952749,8.252733300956548e-5,0.0011578877076552864
ENSDARG00000056262,slc35g2a,0.677368971413279,3.929092481156614,8.769523424965005e-5,0.0012090281358037658
ENSDARG00000079434,tmem131l,-0.46351918109758916,6.0639849889141075,8.791530263736105e-5,0.0012110187383159669
ENSDARG00000060395,si:dkey-57k2.7,-0.8076240367179364,2.80813486494094,8.943481860306805e-5,0.0012278839781807362
ENSDARG00000058473,st6galnac3,-0.6469836395699656,3.938851983598029,9.484445859385438e-5,0.0012810160641247863
ENSDARG00000102825,olfm2b,-2.285227850662258,5.608744102096637,9.580718631121307e-5,0.0012887886663044345
ENSDARG00000070512,cnpy3,-0.5221786499895136,5.303303311366923,9.887673873941359e-5,0.0013225956050030884
ENSDARG00000096632,CR382370.2,1.3501514678613704,1.6679457549800036,1.0095892143668516e-4,0.0013418182529604163
ENSDARG00000001447,mier1b,-0.625562813694659,3.7774727844413793,1.0220586879271597e-4,0.0013525307838398834
ENSDARG00000062122,klhl5,0.7109270066980259,3.7974852677246944,1.0298199570512001e-4,0.0013610964325124677
ENSDARG00000038980,txndc12,0.5880585268986641,4.39434853851642,1.0398177492898499e-4,0.0013688739990651189
ENSDARG00000101322,tfr1a,1.1025270782806438,3.053819205786176,1.1126733883866563e-4,0.0014442188130073291
ENSDARG00000016301,zgc:65894,0.44356362639866515,7.905897863296447,1.2127544418103045e-4,0.0015495247818559834
ENSDARG00000027547,TPGS1,0.7892442467489089,3.610001990890234,1.2173371915763037e-4,0.0015510329914111558
ENSDARG00000014790,g3bp2,0.6144404266876299,5.29968689970537,1.2571596746571142e-4,0.0015823855511569124
ENSDARG00000008279,map2k7,-0.5596611254259168,5.257561192998278,1.2751144514601984e-4,0.0015977337705043448
ENSDARG00000005606,paxip1,-0.4646925906509696,3.989621174614841,1.2786580787714578e-4,0.001599764694041884
ENSDARG00000013117,hiat1a,0.616336158041221,4.064312244894738,1.2932524355013732e-4,0.001614382635164505
ENSDARG00000010078,nup133,0.6223358997013285,3.0054476997946495,1.3017572212122052e-4,0.0016213503114499324
ENSDARG00000009740,ppp1r7,-0.7312134159139636,5.948853172740121,1.3068037758860002e-4,0.0016215671014722626
ENSDARG00000035859,angptl4,-1.2153093562242283,4.5315162160865325,1.3322078996165008e-4,0.0016457267594371622
