gene_id	Ps2Ex3M1_WT_6month_07_07_2016_F3_86_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_80_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_81_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_82_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_85_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_84_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_83_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_89_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem
ENSDARG00000029856	3.1456517876277186	2.7054880146875364	2.18144626529491	2.9278242471685845	2.6746218375084467	2.9438252953296913	3.2811363079463196	2.6856915400686843	2.594950439372616	2.5810697532040585	2.713953413280367	2.663492974703746
ENSDARG00000055595	-1.2882776527424538	-0.1399914545726304	-1.8896242431648993	1.0491947829912398	-1.0836661432565906	-0.5082209318617084	0.013595448103271401	-0.28959137261741086	-0.9930596840784718	2.148114091220102	1.6079407034461957	-0.5824677785647969
ENSDARG00000039174	2.3117859588450766	2.099780380843266	1.862326051132745	2.6453617621025503	1.7336588548520335	2.0867357217835094	2.387071744161596	2.4605509367622873	1.9665010973095094	1.8106244503381275	1.7133840344917488	2.350275276960746
ENSDARG00000030703	0.8790065961514553	-0.23739757584250398	-0.38453946593401067	-0.48686263356914683	-0.761942997385817	1.050993720003183	1.0969380902948473	0.47534132293306675	0.14189212510853766	-0.6698461230582238	0.03945495707940205	0.6689714896114203
ENSDARG00000039310	1.7052998130349932	2.287375974886203	2.4278435908475604	2.385972664642423	2.321387454614478	2.577114285056216	2.4605509367622873	2.10305486192721	2.165096019567031	3.2045346079302943	2.556676637879442	2.0732648077130693
ENSDARG00000100264	3.726851278185992	2.580378511077945	2.9611970544189843	3.1917839310546743	2.9530178984576327	3.0527254523854968	2.8880655622591935	3.09758782099427	2.9564943005321815	2.6059823772063013	2.849317491556473	2.9220654278046476
ENSDARG00000036542	3.7183954402161827	3.7087342218907504	3.662403983092377	3.849543799202015	3.323728062174879	3.0295659584808297	3.762039772064381	3.1518950148570166	3.9145052898554615	3.4945100794915653	3.5993348071486886	3.6771352393433276
ENSDARG00000006526	4.796601140631113	3.1428245505602628	4.551601426302074	4.450041334664828	4.2554647676222626	4.380269264291934	4.416452298105501	4.558666905875279	4.268760323204618	4.541679708859833	4.252867685820596	4.432870120329861
ENSDARG00000031783	4.6067615357045275	4.649462356122753	4.690783983570778	4.788950444024522	4.710413842153279	5.313604488878172	4.637482945274403	4.896947330547926	4.562485263426046	4.637883577442999	4.642160222641771	4.75508874562512
ENSDARG00000004291	4.815931556580654	4.670670579243202	4.917069234896457	4.563983949594492	4.770719760503301	4.547855649030467	4.876291858258593	4.7307267295885795	4.954476182347694	4.769505428535662	4.695102925947251	4.789711683671905
ENSDARG00000074435	4.083596116362923	3.966163927450818	3.635645709536074	3.7662996523458605	3.7712111009181046	3.8763153994358843	4.042809417512168	3.7066160875948504	3.77356717627753	3.9430532790281476	3.7256581802927577	3.9864416361484145
ENSDARG00000099758	3.2926502148744117	2.531608284378864	2.8027706485756188	2.5433863883577152	3.167519396733012	2.50069823101343	2.6526588344954742	2.9825629939952183	2.941359472042025	2.4805567886596704	2.913857270237221	2.9115992636063868
ENSDARG00000016470	1.452512051413517	2.1203833991806906	1.8039189541111873	2.194643854315999	2.3438236155328145	2.6338383623383277	2.1146415106274694	2.0347397905611837	2.035657357686639	1.8327107741318287	1.7336588548520335	1.1909565769960326
ENSDARG00000029133	2.7544512235505767	2.723843456534285	2.847416178681333	2.8613952788371346	2.844255422314733	2.9868909484387083	2.6587468338383724	2.897869010449746	2.5593271790978935	2.849317491556473	2.91830885798263	2.8573696923635117
ENSDARG00000011958	3.63382296264913	3.827598354977815	3.698508589463799	3.781052657123657	3.749455069854582	3.979119627754428	3.723512814870104	3.537387995207919	3.531048485489731	3.6283232159309047	3.685399195013423	3.661207984556651
ENSDARG00000018060	5.242120035560528	5.8114275757306055	5.756220675852292	5.7908223059254915	5.784083455415217	5.352372386329635	5.593306457748094	5.951528846678214	5.342760713272504	5.851931194185521	5.7908223059254915	5.76749645332651
ENSDARG00000078352	2.429680298052036	2.5835364107780956	2.413739397129916	2.2115262556958095	2.4391026450310793	2.6161150866601592	1.6050913052530307	2.3929555387419663	2.339905652414338	2.5397934454054854	2.5221517757554657	2.5414098972019996
ENSDARG00000056742	5.1332288146427825	4.576740138941059	4.560210778602377	5.044161860683177	4.729591738865041	4.902903947649132	4.881066966856869	5.020866680235045	4.770719760503301	4.981593505420101	4.909371664468763	4.883948591965238
ENSDARG00000024827	2.187343184846837	1.4877355447670007	2.0128715280766873	2.0096948053875883	1.4755209324978944	1.6121992325171868	1.9426313574505512	1.5255762195940927	1.851424319793553	2.1017313257089407	1.8908575512413897	2.1634841314865474
ENSDARG00000034189	4.987531945056859	5.46098164091498	5.28056069974496	5.335814719201028	5.309273369535314	5.2775100499560565	5.061048978821677	5.411492699130092	5.130959822037347	5.292389068603205	5.356971146468778	5.496575819093858
ENSDARG00000012021	5.031109732503541	4.813099695087102	4.879743183916304	4.815551723359785	4.717620488935673	4.525351769931448	4.930039184880529	4.93095576632376	4.920526987962358	4.968950101111229	4.882290881071707	4.883554079280148
ENSDARG00000056998	4.27439240080127	4.206672579275521	4.226921261060352	4.317426083391906	4.309194104826826	4.44319306973003	4.164197916200164	4.449290537179235	4.001812731465118	3.992476810958995	4.351761876749463	4.114559972700802
ENSDARG00000028982	3.7872608442616476	3.799423658567817	3.736525502791998	3.709339576735838	3.609670562312963	3.3443115418733664	3.8664795626449404	3.563274790553429	3.885327409773843	3.7332325832449103	3.8296484957936725	3.9118136172605036
